time	oxygen	pressure	temperature	salinity
30-07-2019 05:41:15	80.15	-0.01	20.72	0.01
30-07-2019 05:41:15	80.16	0.00	20.72	0.01
30-07-2019 05:41:15	80.16	-0.01	20.72	0.01
30-07-2019 05:41:16	80.16	0.02	20.71	0.01
30-07-2019 05:41:17	80.16	-0.01	20.71	0.01
30-07-2019 05:41:17	80.17	0.01	20.71	0.01
30-07-2019 05:41:18	80.17	-0.01	20.71	0.01
30-07-2019 05:41:19	80.18	0.01	20.71	0.01
30-07-2019 05:41:19	80.18	-0.01	20.71	0.01
30-07-2019 05:41:20	80.17	0.01	20.71	0.01
30-07-2019 05:41:20	80.17	-0.02	20.70	0.01
30-07-2019 05:41:22	80.18	0.00	20.69	0.01
30-07-2019 05:41:22	80.18	-0.01	20.69	0.01
30-07-2019 05:41:22	80.18	0.00	20.69	0.01
30-07-2019 05:41:23	80.18	-0.01	20.68	0.01
30-07-2019 05:41:23	80.17	0.01	20.68	0.01
30-07-2019 05:41:24	80.17	-0.01	20.68	0.01
30-07-2019 05:41:25	80.17	0.01	20.69	0.01
30-07-2019 05:41:25	80.17	0.00	20.69	0.01
30-07-2019 05:41:26	80.17	0.02	20.69	0.01
30-07-2019 05:41:26	80.17	-0.01	20.69	0.01
30-07-2019 05:41:26	80.17	0.04	20.69	0.01
30-07-2019 05:41:27	80.17	0.00	20.69	0.01
30-07-2019 05:41:27	80.17	0.01	20.69	0.01
30-07-2019 05:41:27	80.17	-0.02	20.69	0.01
30-07-2019 05:41:28	80.17	0.01	20.69	0.01
30-07-2019 05:41:28	80.17	-0.01	20.69	0.01
30-07-2019 05:41:29	80.17	0.01	20.68	0.01
30-07-2019 05:41:29	80.17	-0.01	20.69	0.01
30-07-2019 05:41:30	80.17	0.02	20.68	0.01
30-07-2019 05:41:30	80.17	-0.01	20.69	0.01
30-07-2019 05:41:31	80.17	0.01	20.69	0.01
30-07-2019 05:41:31	80.17	-0.01	20.69	0.01
30-07-2019 05:41:32	80.17	0.01	20.68	0.01
30-07-2019 05:41:33	80.16	0.00	20.68	0.01
30-07-2019 05:41:33	80.15	0.02	20.68	0.01
